Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;12103;Cazdak;Anton Jansen;;;;
Building;12111;Cazdak;Anton Jansen;;;;GSO
Building;12112;Cazdak;Anton Jansen;;;;
Building;12113;Cazdak;Anton Jansen;;;;
Building;12114;Cazdak;Anton Jansen;;;;
Building;12117;Cazdak;Anton Jansen;;;;
Building;12118;Cazdak;Anton Jansen;;;;
Building;12120;Cazdak;Anton Jansen;;;;
Building;12122;Cazdak;Anton Jansen;;;;
Building;12126;Cazdak;Anton Jansen;;;;
Building;12191;Cazdak;Anton Jansen;;;;
Building;12195;Cazdak;Anton Jansen;;;;
Building;12200;Cazdak;Anton Jansen;;;;
Building;12201;Cazdak;Anton Jansen;;;;
Building;12202;Cazdak;Anton Jansen;;;;
Building;12203;Cazdak;Anton Jansen;;;;
Building;12204;Cazdak;Anton Jansen;;;;
Building;12205;Cazdak;Anton Jansen;;;;
Building;12206;Cazdak;Anton Jansen;;;;
Building;12207;Cazdak;Anton Jansen;;;;
Building;13000;Cazdak;Anton Jansen;;;;
Building;14000;Oranjedak;Jack Robbemond;;;;
Building;14001;Oranjedak;Jack Robbemond;;Ja;;
Building;14002;Oranjedak;Jack Robbemond;;;;
Building;14003;Oranjedak;Jack Robbemond;;;;
Building;14711;Oranjedak;Jack Robbemond;;;;
Building;15001;Oranjedak;Jack Robbemond;;;;
Building;15002;Oranjedak;Jack Robbemond;;;;
Building;15003;Oranjedak;Jack Robbemond;;;;
Building;15004;?;;;;;
Building;16000;?;;;;;
Building;16001;?;;;;;
Building;16002;?;;;;;
Building;17000;Voormolen;Anton Jansen;;;Ja;
Building;18000;Cazdak;Anton Jansen;;;;
Building;18001;Cazdak;Anton Jansen;;;;
Building;18002;Cazdak;Anton Jansen;;;;
Building;18003;Cazdak;Anton Jansen;;;;
Building;18004;Cazdak;Anton Jansen;;;;
Building;19000;Cazdak;Anton Jansen;;Ja;Ja;
Building;19001;Cazdak;Anton Jansen;;Ja;;Vodafone
Building;19002;Cazdak;Anton Jansen;;;;
Building;20000;Cazdak;Anton Jansen;;Ja;;T-Mobile
Building;20001;Cazdak;Anton Jansen;;;;
Building;20002;Cazdak;Anton Jansen;;Ja;;
Building;20003;Cazdak;Anton Jansen;;Ja;;
Building;20004;Cazdak;Anton Jansen;;;;Vodafone
Building;20005;Cazdak;Anton Jansen;;;;
Building;22000;Cazdak;Anton Jansen;;;;
Building;23000;Cazdak;Anton Jansen;;Ja;;
Building;23001;Cazdak;Anton Jansen;;;;
Building;23002;Cazdak;Anton Jansen;;;;GSO
Building;23003;Cazdak;Anton Jansen;;Nee;;
Building;23004;Cazdak;Anton Jansen;;Nee;;
Building;23005;Cazdak;Anton Jansen;;;;
Building;23006;Cazdak;Anton Jansen;;;;
Building;23007;Cazdak;Anton Jansen;;;;
Building;23008;Cazdak;Anton Jansen;;Ja;;
Building;23009;Cazdak;Anton Jansen;;;;GSO
Building;23010;Cazdak;Anton Jansen;;;;GSO
Building;23011;Cazdak;Anton Jansen;;Nee;;GSO
Building;23012;Cazdak;Anton Jansen;;Nee;;GSO
Building;23013;Cazdak;Anton Jansen;;;;GSO
Building;23014;Cazdak;Anton Jansen;;;;
Building;23015;Cazdak;Anton Jansen;;Nee;;
Building;23016;Cazdak;Anton Jansen;;;;
Building;23017;Cazdak;Anton Jansen;;;;
Building;23018;Cazdak;Anton Jansen;;;;GSO
Building;23019;Cazdak;Anton Jansen;;;;
Building;23020;Cazdak;Anton Jansen;;Nee;;
Building;23021;Cazdak;Anton Jansen;;Ja;;GSO
Building;23022;Cazdak;Anton Jansen;;;;
Building;23023;Cazdak;Anton Jansen;;;;GSO
Building;23024;Cazdak;Anton Jansen;;;;
Building;23025;Cazdak;Anton Jansen;;Ja;;
Building;23026;Cazdak;Anton Jansen;;;;
Building;23027;Cazdak;Anton Jansen;;;;GSO
Building;23028;Cazdak;Anton Jansen;;;;
Building;23029;Cazdak;Anton Jansen;;;;
Building;23030;Cazdak;Anton Jansen;;;;
Building;23031;Cazdak;Anton Jansen;;;;
Building;23032;Cazdak;Anton Jansen;;;;
Building;23033;Cazdak;Anton Jansen;;;;
Building;23034;Cazdak;Anton Jansen;;;;
Building;23035;Cazdak;Anton Jansen;;;;
Building;23036;Cazdak;Anton Jansen;;;;GSO
Building;23037;Cazdak;Anton Jansen;;;;GSO
Building;23038;Cazdak;Anton Jansen;;;;
Building;23039;Cazdak;Anton Jansen;;;;
Building;23040;Cazdak;Anton Jansen;;;;
Building;23103;Cazdak;Anton Jansen;;Nee;;GSO
Building;23104;Cazdak;Anton Jansen;;;;GSO
Building;23108;Cazdak;Anton Jansen;;Nee;;
Building;23109;Cazdak;Anton Jansen;;;;Zonnepanelen
Building;23110;Cazdak;Anton Jansen;;;;
Building;23111;Cazdak;Anton Jansen;;;;GSO
Building;23112;Cazdak;Anton Jansen;;;;
Building;23113;Cazdak;Anton Jansen;;;;
Building;23115;Cazdak;Anton Jansen;;Ja;;GSO
Building;23127;Cazdak;Anton Jansen;;;;
Building;23128;Cazdak;Anton Jansen;;;;
Building;23129;Cazdak;Anton Jansen;;;;
Building;23130;Cazdak;Anton Jansen;;;;
Building;23132;Cazdak;Anton Jansen;;;;
Building;23133;Cazdak;Anton Jansen;;;;
Building;24000;Cazdak;Anton Jansen;;;;GSO
Building;24001;Cazdak;Anton Jansen;;Ja;;GSO
Building;24002;Cazdak;Anton Jansen;;Nee;;GSO
Building;24003;Cazdak;Anton Jansen;;;;GSO
Building;24004;Cazdak;Anton Jansen;;;;
Building;24005;Cazdak;Anton Jansen;;;;
Building;24006;Cazdak;Anton Jansen;;;;GSO
Building;24007;Cazdak;Anton Jansen;;Ja;;GSO
Building;24008;Cazdak;Anton Jansen;;Ja;;GSO
Building;24010;Cazdak;Anton Jansen;;;;GSO
Building;24015;Cazdak;Anton Jansen;;;;GSO
Building;24020;Cazdak;Anton Jansen;;Nee;;GSO
Building;24022;Cazdak;Anton Jansen;;;;
Building;24023;Cazdak;Anton Jansen;;;;
Building;24024;Cazdak;Anton Jansen;;;;
Building;24025;Cazdak;Anton Jansen;;;;
Building;24026;Cazdak;Anton Jansen;;;;
Building;24102;Cazdak;Anton Jansen;;;;
Building;24103;Cazdak;Anton Jansen;;;;
Building;24106;Cazdak;Anton Jansen;;;;
Building;24108;Cazdak;Anton Jansen;;;;
Building;24122;Cazdak;Anton Jansen;;;;GSO
Building;24123;Cazdak;Anton Jansen;;;;GSO
Building;24124;Cazdak;Anton Jansen;;;;GSO
Building;24125;Cazdak;Anton Jansen;;;;GSO
Building;24126;Cazdak;Anton Jansen;;;;GSO
Building;24127;Cazdak;Anton Jansen;;;;GSO
Building;24128;Cazdak;Anton Jansen;;;;GSO
Building;24129;Cazdak;Anton Jansen;;;;
Building;24130;Cazdak;Anton Jansen;;;;
Building;24131;Cazdak;Anton Jansen;;;;
Building;24132;Cazdak;Anton Jansen;;;;
Building;24133;Cazdak;Anton Jansen;;;;
Building;25000;Cazdak;Anton Jansen;;Nee;;
Building;25001;Cazdak;Anton Jansen;;;;GSO
Building;25002;Cazdak;Anton Jansen;;;;GSO
Building;25003;Cazdak;Anton Jansen;;;;GSO
Building;25004;Cazdak;Anton Jansen;;Ja;;
Building;25005;Cazdak;Anton Jansen;;;;
Building;25006;Cazdak;Anton Jansen;;;;
Building;25007;Cazdak;Anton Jansen;;Ja;;GSO
